0000 [力Lv1]
0100 [力Lv2]
0200 [力Lv3]
0300 [力Lv4]
0400 [力Lv5]
0500 [力Lv6]
0600 [力Lv7]
0700 [力Lv8]
0800 [力Lv9]
0900 [力Lv10]
0A00 [敏捷Lv1]
0B00 [敏捷Lv2]
0C00 [敏捷Lv3]
0D00 [敏捷Lv4]
0E00 [敏捷Lv5]
0F00 [敏捷Lv6]
1000 [敏捷Lv7]
1100 [敏捷Lv8]
1200 [敏捷Lv9]
1300 [敏捷Lv10]
1400 [健康Lv1]
1500 [健康Lv2]
1600 [健康Lv3]
1700 [健康Lv4]
1800 [健康Lv5]
1900 [健康Lv6]
1A00 [健康Lv7]
1B00 [健康Lv8]
1C00 [健康Lv9]
1D00 [健康Lv10]
1E00 [知恵Lv1]
1F00 [知恵Lv2]
2000 [知恵Lv3]
2100 [知恵Lv4]
2200 [知恵Lv5]
2300 [知恵Lv6]
2400 [知恵Lv7]
2500 [知恵Lv8]
2600 [知恵Lv9]
2700 [知恵Lv10]
2800 [知識Lv1]
2900 [知識Lv2]
2A00 [知識Lv3]
2B00 [知識Lv4]
2C00 [知識Lv5]
2D00 [知識Lv6]
2E00 [知識Lv7]
2F00 [知識Lv8]
3000 [知識Lv9]
3100 [知識Lv10]
3200 [威厳Lv1]
3300 [威厳Lv2]
3400 [威厳Lv3]
3500 [威厳Lv4]
3600 [威厳Lv5]
3700 [威厳Lv6]
3800 [威厳Lv7]
3900 [威厳Lv8]
3A00 [威厳Lv9]
3B00 [威厳Lv10]
3C00 [運Lv1]
3D00 [運Lv2]
3E00 [運Lv3]
3F00 [運Lv4]
4000 [運Lv5]
4100 [運Lv6]
4200 [運Lv7]
4300 [運Lv8]
4400 [運Lv9]
4500 [運Lv10]
4600 [力固定]
4700 [敏捷固定]
4800 [健康固定]
4900 [知恵固定]
4A00 [知識固定]
4B00 [威厳固定]
4C00 [運固定]
4D00 [力比率上昇Lv1]
4E00 [力比率上昇Lv2]
4F00 [敏捷比率上昇Lv1]
5000 [敏捷比率上昇Lv2]
5100 [健康比率上昇Lv1]
5200 [健康比率上昇Lv2]
5300 [知恵比率上昇Lv1]
5400 [知恵比率上昇Lv2]
5500 [知識比率上昇Lv1]
5600 [知識比率上昇Lv2]
5700 [威厳比率上昇Lv1]
5800 [威厳比率上昇Lv2]
5900 [運比率上昇Lv1]
5A00 [運比率上昇Lv2]
5B00 [攻撃力Lv1]
5C00 [攻撃Lv2]
5D00 [攻撃Lv3]
5E00 [攻撃Lv4]
5F00 [攻撃Lv5]
6000 [攻撃Lv6]
6100 [攻撃Lv7]
6200 [攻撃Lv8]
6300 [攻撃Lv9]
6400 [攻撃Lv10]
6500 [最低攻撃Lv1]
6600 [最低攻撃Lv2]
6700 [最低攻撃Lv3]
6800 [最低攻撃Lv4]
6900 [最低攻撃Lv5]
6A00 [最高攻撃Lv1]
6B00 [最高攻撃Lv2]
6C00 [最高攻撃Lv3]
6D00 [最高攻撃Lv4]
6E00 [最高攻撃Lv5]
6F00 [防御力効率Lv1]
7000 [防御力効率Lv2]
7100 [防御力効率Lv3]
7200 [防御力効率Lv4]
7300 [防御力効率Lv5]
7400 [防御力効率Lv6]
7500 [防御力効率Lv7]
7600 [防御力効率Lv8]
7700 [防御力効率Lv9]
7800 [防御力効率Lv10]
7900 [防御力Lv1]
7A00 [防御力Lv2]
7B00 [防御力Lv3]
7C00 [防御力Lv4]
7D00 [防御力Lv5]
7E00 [最大HP効率Lv1]
7F00 [最大HP効率Lv2]
8000 [最大HP効率Lv3]
8100 [最大HP効率Lv4]
8200 [最大HP効率Lv5]
8300 [最大HP効率Lv6]
8400 [最大HPLv1]
8500 [最大HPLv2]
8600 [最大HPLv3]
8700 [最大HPLv4]
8800 [最大HPLv5]
8900 [最大HPLv6]
8A00 [最大HPLv7]
8B00 [最大HPLv8]
8C00 [最大HPLv9]
8D00 [最大HPLv10]
8E00 [最大HPLv11]
8F00 [最大CP効率Lv1]
9000 [最大CP効率Lv2]
9100 [最大CP効率Lv3]
9200 [最大CP効率Lv4]
9300 [最大CP効率Lv5]
9400 [最大CP効率Lv6]
9500 [最大CPLv1]
9600 [最大CPLv2]
9700 [最大CPLv3]
9800 [最大CPLv4]
9900 [最大CPLv5]
9A00 [最大CPLv6]
9B00 [最大CPLv7]
9C00 [最大CPLv8]
9D00 [最大CPLv9]
9E00 [最大CPLv10]
9F00 [最大CPLv11]
A000 [CP減少抑止Lv1]
A100 [CP減少抑止Lv2]
A200 [CP減少抑止Lv3]
A300 [攻撃命中Lv1]
A400 [攻撃命中Lv2]
A500 [攻撃命中Lv3]
A600 [攻撃命中Lv4]
A700 [攻撃命中Lv5]
A800 [攻撃命中Lv6]
A900 [攻撃回避Lv1]
AA00 [攻撃回避Lv2]
AB00 [攻撃回避Lv3]
AC00 [攻撃回避Lv4]
AD00 [攻撃回避Lv5]
AE00 [攻撃回避Lv6]
AF00 [ブロック率Lv1]
B000 [ブロック率Lv2]
B100 [ブロック率Lv3]
B200 [ブロック率Lv4]
B300 [致命打率Lv1]
B400 [致命打率Lv2]
B500 [決定打率Lv1]
B600 [決定打率Lv2]
B700 [回避補正無視]
