0000 ゴールド
0100 スモールヒールポーション
0200 ヒールポーション
0300 ラージヒールポーション
0400 フルヒールポーション
0500 スモールチャージポーション
0600 チャージポーション
0700 ラージチャージポーション
0800 フルチャージポーション
0900 キャンディー
0A00 クッキー
0B00 ケーキ
0C00 花
0D00 解毒剤
0E00 中和剤
0F00 強化解毒剤
1000 元気回復剤
1100 祝福の聖水
1200 万病治療薬
1300 銅の宝箱鍵
1400 鉄の宝箱鍵
1500 鋼の宝箱鍵
1600 銀の宝箱鍵
1700 金の宝箱鍵
1800 プラチナの宝箱鍵
1900 ダイヤの宝箱鍵
1A00 銅の扉鍵
1B00 鉄の扉鍵
1C00 鋼の扉鍵
1D00 銀の扉鍵
1E00 金の扉鍵
1F00 プラチナの扉鍵
2000 ダイヤの扉鍵
2100 万能鍵
2200 神々の霊薬
2300 フェニックスの羽
2400 フェニックスの灰
2500 復活の巻物
2600 帰還の巻物
2700 帰還の魔石
2800 力の水薬
2900 素早さの水薬
2A00 元気の水薬
2B00 知恵の書
2C00 知識の巻物
2D00 カリスマの護身符
2E00 幸運のクローバ
2F00 刃油
3000 鎧油
3100 ドラゴンの血
3200 ドラゴンの牙
3300 ドラゴンの爪
3400 ドラゴンの心臓
3500 原石
3600 宝石
3700 希少石
3800 オーブ
3900 天球
3C00 バンダナ
3D00 皮の帽子
3E00 ヘッドギア
3F00 鉄の帽子
4000 兜
4100 大型の兜
4200 ジャイアント兜
4300 サークレット
4400 花冠
4500 ティアラ
4600 王冠
4700 皮のグローブ
4800 戦闘用グローブ
4900 チェーングローブ
4A00 ガントレット
4B00 鋲付きグローブ
4C00 格闘用グローブ
4D00 槍投擲機
4E00 クロー
4F00 バグナク
5000 鉄のクロー
5100 手首保護帯
5200 バングル
5300 ブレスレット
5400 リストバンド
5500 腕輪
5600 リストチェーン
5700 ベルト
5800 胴巻き
5900 レザーベルト
5A00 強化ベルト
5B00 チェーンベルト
5C00 鉄板ベルト
5D00 草鞋
5E00 クロスシューズ
5F00 レザーシューズ
6000 強化シューズ
6100 チェーンシューズ
6200 メタルシューズ
6300 首飾り
6400 ネックレス
6500 スカルネックレス
6600 ペンダント
6700 勲章
6800 お守り
6900 レザーカラー
6A00 鋲付きカラー
6B00 メタルカラー
6C00 スパイクカラー
6D00 リング
6E00 スカルリング
6F00 スパイラルリング
7000 ダブルリング
7100 スタンプリング
7200 セッティングリング
7300 レザーリング
7400 バトルリング
7500 イヤリング
7600 ボーンイヤリング
7700 クロスイヤリング
7800 ダブルイヤリング
7900 チェーンイヤリング
7A00 ジャイアントイヤリング
7B00 マント
7C00 ケープ
7D00 クローク
7E00 ローブ
7F00 コート
8000 布の服
8100 レザーアーマー
8200 鋲付きレザーアーマー
8300 メタルスケールアーマー
8400 ブレストプレート
8500 クィレス
8600 ホバーク
8700 ライトアーマー
8800 ハーフプレートアーマー
8900 チェーンメイル
8A00 ドラゴンスキンアーマー
8B00 プレートメイル
8C00 フルプレートアーマー
8D00 ミスリルコート
8E00 ショルダーパッド
8F00 ロングコート
9000 エンジェルプレート
9100 格闘服
9200 ウッドアーマー
9300 ロマアーマー
9400 ミニドレス
9500 プリンセスドレス
9600 ウェディングドレス
9700 デビルメイル
9800 ショートソード
9900 ロングソード
9A00 ブロードソード
9B00 半月刀
9C00 騎兵刀
9D00 偃月刀
9E00 ソードスティック
9F00 スモールソード
A000 カトラス
A100 クリス
A200 チンクェディア
A300 グラディウス
A400 ハンドアックス
A500 サークルシールド
A600 ビッグシールド
A700 カイトシールド
A800 タワーシールド
A900 スパイクシールド
AA00 ディフェンダー
AB00 マインゴーシュ
AC00 バスタードソード
AD00 両手持ち剣
AE00 ツヴァィハンダー
AF00 クレイモア
B000 フランベルジュ
B100 エクゼキューショナーズソード
B200 グレートアックス
B300 バトルアックス
B400 杖
B500 小さい杖
B600 長い杖
B700 山登り杖
B800 魔法の杖
B900 牙
BA00 鉄の牙
BB00 銀の牙
BC00 金の牙
BD00 棍棒
BE00 メイス
BF00 ハンマー
C000 ウォーハンマー
C100 モーニングスター
C200 殻竿
C300 聖水撒き
C400 ホール
C500 戦闘用ホール
C600 銅の翼
C700 鉄の翼
C800 銀の翼
C900 金の翼
CA00 プラチナの翼
CB00 ダート
CC00 短剣
CD00 小型手裏剣
CE00 ブーメラン
CF00 ボウラス
D000 トマホーク
D100 フランシスカ
D200 チャクラム
D300 小型の弓
D400 長い弓
D500 合成の弓
D600 狩りの弓
D700 戦闘用の弓
D800 矢
D900 石の矢
DA00 軽めの矢
DB00 重めの矢
DC00 鉄の矢
DD00 火の矢
DE00 毒の矢
